Date,"Antipiretico","Polmonite","Tonsillite","Pagina principale","Influenza"
2018-01-26,135,787,325,664678,605
2018-01-27,122,639,295,600075,482
2018-01-28,106,720,319,609352,479
2018-01-29,138,957,394,672154,592
2018-01-30,129,879,380,662809,536
2018-01-31,112,760,370,681798,506
2018-02-01,132,840,371,713829,507
2018-02-02,132,760,372,723984,614
2018-02-03,122,663,316,641471,425
2018-02-04,126,678,322,650252,491
2018-02-05,115,834,429,710730,527
2018-02-06,136,823,364,693460,398
2018-02-07,100,740,369,688505,402
2018-02-08,97,783,377,693098,390
2018-02-09,96,703,351,663058,356
2018-02-10,144,560,288,624301,334
2018-02-11,131,606,329,626330,354
2018-02-12,115,784,379,691299,416
2018-02-13,113,817,332,712730,352
2018-02-14,104,684,373,680058,363
2018-02-15,85,757,352,695350,352
